,Brand,Gender,Price,Color
533,Gini and Jony,Boys,559, Brown
534,Gini and Jony,Girls,839, Black
535,ID,Men,2385, Brown
536,Parx,Men,804,Blue
538,Parx,Men,594, Grey
539,ID,Men,1210,Blue
540,SPYKAR,Women,1079, Black
541,Lakme,Women,400, Matte
542,SEJ by Nisha Gupta,Unisex,899,Blue
543,HIGHLANDER,Men,699,Blue
544,Campus Sutra,Men,599,Blue
545,her by invictus,Women,1299, Red
546,Parx,Men,717, White
547,AccessHer,Women,1064, Gold
548,Urban Dog,Men,399, Grey
549,Puma,Unisex,2999,Blue
550,her by invictus,Women,1299, Grey
551,AccessHer,Women,348, Black
552,AccessHer,Women,1107, White
553,Kenneth Cole,Women,2463, Pink
554,Roadster,Women,1299, Green
555,Beli,Women,974, Red
556,Urban Dog,Men,699, Black
557,MIAH Decor,Unisex,1079, Black
558,Russell Athletic,Women,2599, Grey
559,Parx,Men,759,Blue
560,SPYKAR,Women,899,Blue
561,Lakme,Women,400, Pink
562,Parx,Men,594,Blue
563,Sera,Women,1357, Black
565,Parx,Men,539, Green
566,Mast & Harbour,Women,1599, Maroon
567,PARFAIT,Women,1679, Red
568,Parx,Men,647,Blue
569,MIAH Decor,Unisex,1499,Blue
570,Sera,Women,1099, Pink
571,SEJ by Nisha Gupta,Unisex,899, Green
572,Campus Sutra,Men,299, Black
573,JEWEL JUNCTION,Men,539, Gold
574,SPYKAR,Women,999,Blue
575,Mast & Harbour,Women,1299, Pink
576,Parx,Men,779,Blue
577,JEWEL JUNCTION,Men,539, Silver
578,Campus Sutra,Men,599,Blue
579,AccessHer,Women,267, Gold
580,AccessHer,Women,595,Blue
581,ether,Women,699, Brown
582,JEWEL JUNCTION,Men,539, Gold
583,DKNY,Unisex,22100, Purple
584,MIAH Decor,Unisex,1499, Brown
585,Roadster,Women,699, Red
586,ahilya,Women,9333, Gold
587,Parx,Men,752,Blue
589,Campus Sutra,Men,511,Blue
590,SPYKAR,Women,1304,Blue
591,Parx,Men,664, Green
592,PARFAIT,Women,1749, Red
593,Campus Sutra,Men,699, Green
594,Parx,Men,594, White
595,ahilya,Women,5998, Green
596,Gini and Jony,Boys,699, Black
597,ahilya,Women,6340, Gold
599,Park Avenue,Women,503,Blue
600,SEJ by Nisha Gupta,Unisex,799,Blue
601,VASTRAMAY,Boys,1469, Red
602,PARFAIT,Women,1539, Red
603,SEJ by Nisha Gupta,Unisex,799, Red
604,Raymond,Men,3599, Maroon
605,Raymond,Men,3999,Blue
606,AccessHer,Women,4040, Gold
607,Parx,Men,659, White
608,JC Collection,Women,5590, Yellow
610,Allen Solly Woman,Women,685,Blue
611,PARFAIT,Women,1679, Red
612,HIGHLANDER,Men,1299, Black
613,SEJ by Nisha Gupta,Unisex,899, Red
614,Homesake,Unisex,1732,Blue
615,SEJ by Nisha Gupta,Unisex,999,Blue
616,Soie,Women,552, Red
617,Lady Lyka,Women,425, Red
618,SPYKAR,Women,999,Blue
619,Russell Athletic,Women,2999, Black
620,Campus Sutra,Men,699, Grey
621,HARBORNBAY,Women,395,Blue
622,JEWEL JUNCTION,Men,539, Gold
623,Raymond,Men,1079, Maroon
624,AccessHer,Women,512, White
625,ahilya,Women,4410, Gold
626,SPYKAR,Women,1079, Black
628,HIGHLANDER,Men,699,Blue
629,Campus Sutra,Men,699, Black
630,SEJ by Nisha Gupta,Unisex,999,Blue
631,PARFAIT,Women,1189, Red
632,Parx,Men,594, Green
633,JEWEL JUNCTION,Men,539, Silver
634,Soie,Women,693, Red
635,JEWEL JUNCTION,Men,539, Silver
636,SEJ by Nisha Gupta,Unisex,799, Green
637,Blackberrys,Men,3147, Black
638,ID,Men,1036, Brown
639,Gini and Jony,Girls,779, White
640,Homesake,Unisex,1890, Gold
641,ID,Men,956, Black
642,Homesake,Unisex,1836, Gold
643,PARFAIT,Women,999, Black
644,Park Avenue,Women,869,Blue
645,Lady Lyka,Women,593, Pink
646,SPYKAR,Women,2699,Blue
647,Gini and Jony,Girls,1499, Red
648,NEUDIS,Unisex,349, Grey
649,PARFAIT,Women,999, Grey
650,Gini and Jony,Boys,734, Black
651,PARFAIT,Women,1609, Red
652,MIAH Decor,Unisex,883, Red
653,PARFAIT,Women,999, Beige
654,AccessHer,Women,621, White
655,Gini and Jony,Girls,559, White
656,Stylo Bug,Girls,768,Blue
657,BuckleUp,Women,449, Red
658,AccessHer,Women,523, White
659,Gini and Jony,Girls,489,Blue
660,Vishudh,Women,1299, Pink
661,Parx,Men,612, Grey
662,SPYKAR,Women,2499,Blue
663,Parx,Men,699, White
664,AccessHer,Women,520, Pink
665,Raymond,Men,809,Blue
666,AccessHer,Women,1064, Gold
667,SEJ by Nisha Gupta,Unisex,999, Yellow
668,Vishudh,Women,542, Red
669,StyleStone,Women,584, Red
670,AccessHer,Women,264, White
671,SASSAFRAS,Women,699, Black
672,HIGHLANDER,Men,1299, Black
673,United Colors of Benetton,Girls,1999, Black
674,Parx,Men,839, Red
675,Playdate,Girls,839,Blue
676,Marvel by Wear Your Mind,Boys,539, Black
678,Parx,Men,759,Blue
680,Gini and Jony,Boys,1119, Khaki
681,Blackberrys,Men,3597, Black
682,Lady Lyka,Women,678, Black
683,Lady Lyka,Women,425, Red
684,Parx,Men,874,Blue
685,Vishudh,Women,1299,Blue
686,Marvel by Wear Your Mind,Boys,539, White
687,Marvel by Wear Your Mind,Boys,549, Red
688,Parx,Men,612,Blue
689,PARFAIT,Women,1819, Red
691,Lady Lyka,Women,593, Burgundy
692,Blackberrys,Men,4499, Black
693,ID,Men,1432, Black
694,Parx,Men,647, Pink
695,MIAH Decor,Unisex,1199, Brown
697,HIGHLANDER,Men,1299,Blue
698,Parx,Men,734,Blue
699,BuckleUp,Women,449, Brown
700,Gini and Jony,Boys,979, Black
701,U.S. Polo Assn. Kids,Boys,1699, Yellow
702,Raymond,Men,1484,Blue
703,Parx,Men,489,Blue
704,Parx,Men,859,Blue
705,Gini and Jony,Boys,734,Blue
706,Vishudh,Women,1999, Red
707,ahilya,Women,5283, Silver
708,ID,Men,1219, Black
709,VLCC,Unisex,348, White
710,SEJ by Nisha Gupta,Unisex,899, Red
711,Marvel by Wear Your Mind,Boys,539, Red
713,Kazo,Women,2995, Black
714,Homesake,Unisex,1836,Blue
715,Urban Dog,Men,399, Grey
716,AccessHer,Women,468, White
717,Urban Dog,Men,399, Black
718,Parx,Men,779, Brown
719,Kook N Keech Disney,Women,839,Blue
720,ROMEE,Unisex,1574, Red
721,Parx,Men,787,Blue
722,JEWEL JUNCTION,Men,539, Silver
723,Lady Lyka,Women,425, White
724,HIGHLANDER,Men,699,Blue
725,SHOWOFF,Men,835, Grey
726,Gini and Jony,Boys,979, Navy
728,MBE,Women,623, Orange
729,SEJ by Nisha Gupta,Unisex,999,Blue
730,AccessHer,Women,349, Green
731,Sera,Women,1437,Blue
732,Park Avenue,Women,506, Yellow
734,Palm Tree,Boys,349, Red
735,Parx,Men,804,Blue
736,Parx,Men,559, Pink
737,Raymond,Men,1214, Red
738,ahilya,Women,4531, Grey
739,Gini and Jony,Boys,1049,Blue
740,Parx,Men,779,Blue
741,Soie,Women,790, Red
742,Parx,Men,764,Blue
743,Parx,Men,699,Blue
744,Parx,Men,489,Blue
745,Parx,Men,664,Blue
746,Park Avenue,Women,779, Maroon
747,AccessHer,Women,577, Red
748,SEJ by Nisha Gupta,Unisex,799,Blue
749,Story@home,Unisex,1799, Green
750,Sera,Women,711, Maroon
751,Campus Sutra,Men,599, Black
752,PARFAIT,Women,1609, Red
753,Parx,Men,752, Maroon
754,her by invictus,Women,1379, Brown
755,SEJ by Nisha Gupta,Unisex,799, Pink
756,ID,Men,956, Brown
757,SEJ by Nisha Gupta,Unisex,999, Red
758,Parx,Men,734,Blue
759,Bubblegummers,Girls,399, Beige
760,JBN Creation,Boys,1154, Green
761,Gini and Jony,Boys,629,Blue
762,DKNY,Unisex,14040, Red
763,PARFAIT,Women,1679, Red
764,JC Collection,Women,6206, Red
765,Homesake,Unisex,1890, Gold
767,her by invictus,Women,1299, Black
768,Puma,Unisex,2399, White
769,Hoopers,Men,1679, Red
770,Lady Lyka,Women,425, Red
771,Difference of Opinion,Men,499, Black
772,Peter England Casuals,Men,832,Blue
773,Lady Lyka,Women,510, Brown
774,Bubblegummers,Boys,699, Purple
775,Parx,Men,979,Blue
776,Honey by Pantaloons,Women,359, White
777,SPYKAR,Women,1304,Blue
778,SPYKAR,Women,899,Blue
779,Gini and Jony,Girls,734,Blue
780,HIGHLANDER,Men,1299, Black
781,HIGHLANDER,Men,699, Green
782,MANGO,Women,1716, Black
783,Difference of Opinion,Men,499, Yellow
784,ID,Men,1416, Black
786,JEWEL JUNCTION,Men,539, Black
787,Pink Cow,Girls,3800,Blue
788,her by invictus,Women,1799, Brown
789,Raymond,Men,899,Blue
790,Xpose,Women,734, Green
791,Parx,Men,804,Blue
793,Campus Sutra,Men,1299, Grey
794,Crimsoune Club,Men,2299,Blue
795,Parx,Men,612, Yellow
796,Parx,Men,739,Blue
797,PARFAIT,Women,1679, Red
798,Parx,Men,647, Purple
799,Gini and Jony,Boys,1119, Black
800,Lakme,Women,400, Pink
801,HIGHLANDER,Men,699, Yellow
802,TAYHAA,Unisex,450, Black
803,Shoe Couture,Women,1439, Red
805,HIGHLANDER,Men,699,Blue
806,DAVID BECKHAM,Men,1740,Blue
807,JEWEL JUNCTION,Men,539, Silver
808,Gini and Jony,Girls,559,Blue
809,Homesake,Unisex,1732, White
811,SHOWOFF,Men,791, Khaki
